Give number of divisions for the quarter cylinder in r and theta directions:
A Cylinder Model wi     288  Elements
       99    0.817539115376788e-01    0.124732365404825e+01
      100    0.000000000000000e+00    0.125000000000000e+01
      101    0.133333333333333e+01    0.000000000000000e+00
      102    0.133047856431814e+01    0.872041723068574e-01
      103    0.132192648183175e+01    0.174034922960069e+00
      104    0.130771370720431e+01    0.260120429354838e+00
      105    0.128790110171876e+01    0.345092060136694e+00
      106    0.126257350599347e+01    0.428585953737549e+00
      107    0.123183937668172e+01    0.510244576486786e+00
      108    0.119583032204358e+01    0.589718253625335e+00
      109    0.115470053837925e+01    0.666666666666667e+00
      110    0.110862614973673e+01    0.740760310692803e+00
      111    0.105780445372165e+01    0.811681905344961e+00
      112    0.100245307663864e+01    0.879127753466758e+00
      113    0.942809041582063e+00    0.942809041582063e+00
      114    0.879127753466758e+00    0.100245307663864e+01
      115    0.811681905344961e+00    0.105780445372165e+01
      116    0.740760310692803e+00    0.110862614973673e+01
      117    0.666666666666667e+00    0.115470053837925e+01
      118    0.589718253625335e+00    0.119583032204358e+01
      119    0.510244576486786e+00    0.123183937668172e+01
      120    0.428585953737549e+00    0.126257350599347e+01
      121    0.345092060136694e+00    0.128790110171876e+01
      122    0.260120429354838e+00    0.130771370720431e+01
      123    0.174034922960069e+00    0.132192648183175e+01
      124    0.872041723068574e-01    0.133047856431814e+01
      125    0.000000000000000e+00    0.133333333333333e+01
      126    0.141666666666667e+01    0.000000000000000e+00
      127    0.141363347458802e+01    0.926544330760360e-01
      128    0.140454688694623e+01    0.184912105645073e+00
      129    0.138944581390458e+01    0.276377956189515e+00
      130    0.136839492057618e+01    0.366660313895238e+00
      131    0.134148435011807e+01    0.455372575846145e+00
      132    0.130882933772432e+01    0.542134862517210e+00
      133    0.127056971717131e+01    0.626575644476918e+00
      134    0.122686932202795e+01    0.708333333333333e+00
      135    0.117791528409527e+01    0.787057830111103e+00
      136    0.112391723207925e+01    0.862412024429021e+00
      137    0.106510639392855e+01    0.934073238058431e+00
      138    0.100173460668094e+01    0.100173460668094e+01
      139    0.934073238058431e+00    0.106510639392855e+01
      140    0.862412024429021e+00    0.112391723207925e+01
      141    0.787057830111103e+00    0.117791528409527e+01
      142    0.708333333333333e+00    0.122686932202795e+01
      143    0.626575644476918e+00    0.127056971717131e+01
      144    0.542134862517210e+00    0.130882933772432e+01
      145    0.455372575846145e+00    0.134148435011807e+01
      146    0.366660313895238e+00    0.136839492057618e+01
      147    0.276377956189515e+00    0.138944581390458e+01
      148    0.184912105645073e+00    0.140454688694623e+01
      149    0.926544330760360e-01    0.141363347458802e+01
      150    0.000000000000000e+00    0.141666666666667e+01
      151    0.150000000000000e+01    0.000000000000000e+00
      152    0.149678838485790e+01    0.981046938452146e-01
      153    0.148716729206072e+01    0.195789288330077e+00
      154    0.147117792060485e+01    0.292635483024192e+00
      155    0.144888873943360e+01    0.388228567653781e+00
      156    0.142039519424266e+01    0.482159197954742e+00
      157    0.138581929876693e+01    0.574025148547635e+00
      158    0.134530911229903e+01    0.663433035328502e+00
      159    0.129903810567666e+01    0.750000000000000e+00
      160    0.124720441845382e+01    0.833355349529403e+00
      161    0.119003001043685e+01    0.913142143513081e+00
      162    0.112775971121847e+01    0.989018722650103e+00
      163    0.106066017177982e+01    0.106066017177982e+01
      164    0.989018722650103e+00    0.112775971121847e+01
      165    0.913142143513081e+00    0.119003001043685e+01
      166    0.833355349529403e+00    0.124720441845382e+01
      167    0.750000000000000e+00    0.129903810567666e+01
      168    0.663433035328502e+00    0.134530911229903e+01
      169    0.574025148547635e+00    0.138581929876693e+01
      170    0.482159197954742e+00    0.142039519424266e+01
      171    0.388228567653781e+00    0.144888873943360e+01
      172    0.292635483024192e+00    0.147117792060485e+01
      173    0.195789288330077e+00    0.148716729206072e+01
      174    0.981046938452146e-01    0.149678838485790e+01
      175    0.000000000000000e+00    0.150000000000000e+01
      176    0.158333333333333e+01    0.000000000000000e+00
      177    0.157994329512779e+01    0.103554954614393e+00
      178    0.156978769717520e+01    0.206666471015082e+00
      179    0.155291002730511e+01    0.308893009858870e+00
      180    0.152938255829102e+01    0.409796821412324e+00
      181    0.149930603836725e+01    0.508945820063339e+00
      182    0.146280925980954e+01    0.605915434578059e+00
      183    0.142004850742676e+01    0.700290426180085e+00
      184    0.137120688932536e+01    0.791666666666666e+00
      185    0.131649355281236e+01    0.879652868947703e+00
      186    0.125614278879446e+01    0.963872262597141e+00
      187    0.119041302850838e+01    0.104396420724178e+01
      188    0.111958573687870e+01    0.111958573687870e+01
      189    0.104396420724178e+01    0.119041302850838e+01
      190    0.963872262597141e+00    0.125614278879446e+01
      191    0.879652868947703e+00    0.131649355281236e+01
      192    0.791666666666666e+00    0.137120688932536e+01
      193    0.700290426180085e+00    0.142004850742676e+01
      194    0.605915434578059e+00    0.146280925980954e+01
      195    0.508945820063339e+00    0.149930603836725e+01
      196    0.409796821412324e+00    0.152938255829102e+01
      197    0.308893009858870e+00    0.155291002730511e+01
      198    0.206666471015082e+00    0.156978769717520e+01
      199    0.103554954614393e+00    0.157994329512779e+01
      200    0.000000000000000e+00    0.158333333333333e+01
      201    0.166666666666667e+01    0.000000000000000e+00
      202    0.166309820539767e+01    0.109005215383572e+00
      203    0.165240810228968e+01    0.217543653700086e+00
      204    0.163464213400538e+01    0.325150536693547e+00
      205    0.160987637714845e+01    0.431365075170868e+00
      206    0.157821688249184e+01    0.535732442171936e+00
      207    0.153979922085214e+01    0.637805720608483e+00
      208    0.149478790255448e+01    0.737147817031669e+00
      209    0.144337567297406e+01    0.833333333333333e+00
      210    0.138578268717091e+01    0.925950388366003e+00
      211    0.132225556715206e+01    0.101460238168120e+01
      212    0.125306634579830e+01    0.109890969183345e+01
      213    0.117851130197758e+01    0.117851130197758e+01
      214    0.109890969183345e+01    0.125306634579830e+01
      215    0.101460238168120e+01    0.132225556715206e+01
      216    0.925950388366003e+00    0.138578268717091e+01
      217    0.833333333333333e+00    0.144337567297406e+01
      218    0.737147817031669e+00    0.149478790255448e+01
      219    0.637805720608483e+00    0.153979922085214e+01
      220    0.535732442171936e+00    0.157821688249184e+01
      221    0.431365075170868e+00    0.160987637714845e+01
      222    0.325150536693547e+00    0.163464213400538e+01
      223    0.217543653700086e+00    0.165240810228968e+01
      224    0.109005215383572e+00    0.166309820539767e+01
      225    0.000000000000000e+00    0.166666666666667e+01
      226    0.175000000000000e+01    0.000000000000000e+00
      227    0.174625311566756e+01    0.114455476152750e+00
      228    0.173502850740417e+01    0.228420836385090e+00
      229    0.171637424070565e+01    0.341408063528224e+00
      230    0.169037019600587e+01    0.452933328929411e+00
      231    0.165712772661643e+01    0.562519064280533e+00
      232    0.161678918189475e+01    0.669696006638907e+00
      233    0.156952729768220e+01    0.774005207883252e+00
      234    0.151554445662277e+01    0.875000000000000e+00
      235    0.145507182152945e+01    0.972247907784303e+00
      236    0.138836834550966e+01    0.106533250076526e+01
      237    0.131571966308821e+01    0.115385517642512e+01
      238    0.123743686707646e+01    0.123743686707646e+01
      239    0.115385517642512e+01    0.131571966308821e+01
      240    0.106533250076526e+01    0.138836834550966e+01
      241    0.972247907784303e+00    0.145507182152945e+01
      242    0.875000000000000e+00    0.151554445662277e+01
      243    0.774005207883252e+00    0.156952729768220e+01
      244    0.669696006638907e+00    0.161678918189475e+01
      245    0.562519064280533e+00    0.165712772661643e+01
      246    0.452933328929411e+00    0.169037019600587e+01
      247    0.341408063528224e+00    0.171637424070565e+01
      248    0.228420836385090e+00    0.173502850740417e+01
      249    0.114455476152750e+00    0.174625311566756e+01
      250    0.000000000000000e+00    0.175000000000000e+01
      251    0.183333333333333e+01    0.000000000000000e+00
      252    0.182940802593744e+01    0.119905736921929e+00
      253    0.181764891251865e+01    0.239298019070095e+00
      254    0.179810634740592e+01    0.357665590362902e+00
      255    0.177086401486329e+01    0.474501582687955e+00
      256    0.173603857074103e+01    0.589305686389129e+00
      257    0.169377914293736e+01    0.701586292669331e+00
      258    0.164426669280993e+01    0.810862598734835e+00
      259    0.158771324027147e+01    0.916666666666666e+00
      260    0.152436095588800e+01    0.101854542720260e+01
      261    0.145448112386726e+01    0.111606261984932e+01
      262    0.137837298037812e+01    0.120880066101679e+01
      263    0.129636243217534e+01    0.129636243217534e+01
      264    0.120880066101679e+01    0.137837298037812e+01
      265    0.111606261984932e+01    0.145448112386726e+01
      266    0.101854542720260e+01    0.152436095588800e+01
      267    0.916666666666666e+00    0.158771324027147e+01
      268    0.810862598734835e+00    0.164426669280993e+01
      269    0.701586292669331e+00    0.169377914293736e+01
      270    0.589305686389129e+00    0.173603857074103e+01
      271    0.474501582687955e+00    0.177086401486329e+01
      272    0.357665590362902e+00    0.179810634740592e+01
      273    0.239298019070095e+00    0.181764891251865e+01
      274    0.119905736921929e+00    0.182940802593744e+01
      275    0.000000000000000e+00    0.183333333333333e+01
      276    0.191666666666667e+01    0.000000000000000e+00
      277    0.191256293620732e+01    0.125355997691108e+00
      278    0.190026931763314e+01    0.250175201755099e+00
      279    0.187983845410619e+01    0.373923117197579e+00
      280    0.185135783372071e+01    0.496069836446498e+00
      281    0.181494941486562e+01    0.616092308497726e+00
      282    0.177076910397997e+01    0.733476578699755e+00
      283    0.171900608793765e+01    0.847719989586419e+00
      284    0.165988202392017e+01    0.958333333333333e+00
      285    0.159365009024654e+01    0.106484294662090e+01
      286    0.152059390222487e+01    0.116679273893338e+01
      287    0.144102629766804e+01    0.126374614560846e+01
      288    0.135528799727422e+01    0.135528799727422e+01
      289    0.126374614560846e+01    0.144102629766804e+01
      290    0.116679273893338e+01    0.152059390222487e+01
      291    0.106484294662090e+01    0.159365009024654e+01
      292    0.958333333333333e+00    0.165988202392017e+01
      293    0.847719989586419e+00    0.171900608793765e+01
      294    0.733476578699755e+00    0.177076910397997e+01
      295    0.616092308497726e+00    0.181494941486562e+01
      296    0.496069836446498e+00    0.185135783372071e+01
      297    0.373923117197579e+00    0.187983845410619e+01
      298    0.250175201755099e+00    0.190026931763314e+01
      299    0.125355997691108e+00    0.191256293620732e+01
      300    0.000000000000000e+00    0.191666666666667e+01
      301    0.200000000000000e+01    0.000000000000000e+00
      302    0.199571784647721e+01    0.130806258460286e+00
      303    0.198288972274762e+01    0.261052384440103e+00
      304    0.196157056080646e+01    0.390180644032256e+00
      305    0.193185165257814e+01    0.517638090205041e+00
      306    0.189386025899021e+01    0.642878930606323e+00
      307    0.184775906502257e+01    0.765366864730179e+00
      308    0.179374548306538e+01    0.884577380438002e+00
      309    0.173205080756888e+01    0.100000000000000e+01
      310    0.166293922460509e+01    0.111114046603920e+01
      311    0.158670668058247e+01    0.121752285801744e+01
      312    0.150367961495795e+01    0.131869163020014e+01
      313    0.141421356237309e+01    0.141421356237309e+01
      314    0.131869163020014e+01    0.150367961495795e+01
      315    0.121752285801744e+01    0.158670668058247e+01
      316    0.111114046603920e+01    0.166293922460509e+01
      317    0.100000000000000e+01    0.173205080756888e+01
      318    0.884577380438002e+00    0.179374548306538e+01
      319    0.765366864730179e+00    0.184775906502257e+01
      320    0.642878930606323e+00    0.189386025899021e+01
      321    0.517638090205041e+00    0.193185165257814e+01
      322    0.390180644032256e+00    0.196157056080646e+01
      323    0.261052384440103e+00    0.198288972274762e+01
      324    0.130806258460286e+00    0.199571784647721e+01
      325    0.000000000000000e+00    0.200000000000000e+01
# Element Connectivity:
        1              1             26             27              2
        2              2             27             28              3
        3              3             28             29              4
        4              4             29             30              5
        5              5             30             31              6
        6              6             31             32              7
        7              7             32             33              8
        8              8             33             34              9
        9              9             34             35             10
       10             10             35             36             11
       11             11             36             37             12
       12             12             37             38             13
       13             13             38             39             14
       14             14             39             40             15
       15             15             40             41             16
       16             16             41             42             17
       17             17             42             43             18
       18             18             43             44             19
       19             19             44             45             20
       20             20             45             46             21
       21             21             46             47             22
       22             22             47             48             23
       23             23             48             49             24
       24             24             49             50             25
       25             26             51             52             27
       26             27             52             53             28
       27             28             53             54             29
       28             29             54             55             30
       29             30             55             56             31
       30             31             56             57             32
       31             32             57             58             33
       32             33             58             59             34
       33             34             59             60             35
       34             35             60             61             36
       35             36             61             62             37
       36             37             62             63             38
       37             38             63             64             39
       38             39             64             65             40
       39             40             65             66             41
       40             41             66             67             42
       41             42             67             68             43
       42             43             68             69             44
       43             44             69             70             45
       44             45             70             71             46
       45             46             71             72             47
       46             47             72             73             48
       47             48             73             74             49
       48             49             74             75             50
       49             51             76             77             52
       50             52             77             78             53
       51             53             78             79             54
       52             54             79             80             55
       53             55             80             81             56
       54             56             81             82             57
       55             57             82             83             58
       56             58             83             84             59
       57             59             84             85             60
       58             60             85             86             61
       59             61             86             87             62
       60             62             87             88             63
       61             63             88             89             64
       62             64             89             90             65
       63             65             90             91             66
       64             66             91             92             67
       65             67             92             93             68
       66             68             93             94             69
       67             69             94             95             70
       68             70             95             96             71
       69             71             96             97             72
       70             72             97             98             73
       71             73             98             99             74
       72             74             99            100             75
       73             76            101            102             77
       74             77            102            103             78
       75             78            103            104             79
       76             79            104            105             80
       77             80            105            106             81
       78             81            106            107             82
       79             82            107            108             83
       80             83            108            109             84
       81             84            109            110             85
       82             85            110            111             86
       83             86            111            112             87
       84             87            112            113             88
       85             88            113            114             89
       86             89            114            115             90
       87             90            115            116             91
       88             91            116            117             92
       89             92            117            118             93
       90             93            118            119             94
       91             94            119            120             95
       92             95            120            121             96
       93             96            121            122             97
       94             97            122            123             98
       95             98            123            124             99
       96             99            124            125            100
       97            101            126            127            102
       98            102            127            128            103
       99            103            128            129            104
      100            104            129            130            105
      101            105            130            131            106
      102            106            131            132            107
      103            107            132            133            108
      104            108            133            134            109
      105            109            134            135            110
      106            110            135            136            111
      107            111            136            137            112
      108            112            137            138            113
      109            113            138            139            114
      110            114            139            140            115
      111            115            140            141            116
      112            116            141            142            117
      113            117            142            143            118
      114            118            143            144            119
      115            119            144            145            120
      116            120            145            146            121
      117            121            146            147            122
      118            122            147            148            123
      119            123            148            149            124
      120            124            149            150            125
      121            126            151            152            127
      122            127            152            153            128
      123            128            153            154            129
      124            129            154            155            130
      125            130            155            156            131
      126            131            156            157            132
      127            132            157            158            133
      128            133            158            159            134
      129            134            159            160            135
      130            135            160            161            136
      131            136            161            162            137
      132            137            162            163            138
      133            138            163            164            139
      134            139            164            165            140
      135            140            165            166            141
      136            141            166            167            142
      137            142            167            168            143
      138            143            168            169            144
      139            144            169            170            145
      140            145            170            171            146
      141            146            171            172            147
      142            147            172            173            148
      143            148            173            174            149
      144            149            174            175            150
      145            151            176            177            152
      146            152            177            178            153
      147            153            178            179            154
      148            154            179            180            155
      149            155            180            181            156
      150            156            181            182            157
      151            157            182            183            158
      152            158            183            184            159
      153            159            184            185            160
      154            160            185            186            161
      155            161            186            187            162
      156            162            187            188            163
      157            163            188            189            164
      158            164            189            190            165
      159            165            190            191            166
      160            166            191            192            167
      161            167            192            193            168
      162            168            193            194            169
      163            169            194            195            170
      164            170            195            196            171
      165            171            196            197            172
      166            172            197            198            173
      167            173            198            199            174
      168            174            199            200            175
      169            176            201            202            177
      170            177            202            203            178
      171            178            203            204            179
      172            179            204            205            180
      173            180            205            206            181
      174            181            206            207            182
      175            182            207            208            183
      176            183            208            209            184
      177            184            209            210            185
      178            185            210            211            186
      179            186            211            212            187
      180            187            212            213            188
      181            188            213            214            189
      182            189            214            215            190
      183            190            215            216            191
      184            191            216            217            192
      185            192            217            218            193
      186            193            218            219            194
      187            194            219            220            195
      188            195            220            221            196
      189            196            221            222            197
      190            197            222            223            198
      191            198            223            224            199
      192            199            224            225            200
      193            201            226            227            202
      194            202            227            228            203
      195            203            228            229            204
      196            204            229            230            205
      197            205            230            231            206
      198            206            231            232            207
      199            207            232            233            208
      200            208            233            234            209
      201            209            234            235            210
      202            210            235            236            211
      203            211            236            237            212
      204            212            237            238            213
      205            213            238            239            214
      206            214            239            240            215
      207            215            240            241            216
      208            216            241            242            217
      209            217            242            243            218
      210            218            243            244            219
      211            219            244            245            220
      212            220            245            246            221
      213            221            246            247            222
      214            222            247            248            223
      215            223            248            249            224
      216            224            249            250            225
      217            226            251            252            227
      218            227            252            253            228
      219            228            253            254            229
      220            229            254            255            230
      221            230            255            256            231
      222            231            256            257            232
      223            232            257            258            233
      224            233            258            259            234
      225            234            259            260            235
      226            235            260            261            236
      227            236            261            262            237
      228            237            262            263            238
      229            238            263            264            239
      230            239            264            265            240
      231            240            265            266            241
      232            241            266            267            242
      233            242            267            268            243
      234            243            268            269            244
      235            244            269            270            245
      236            245            270            271            246
      237            246            271            272            247
      238            247            272            273            248
      239            248            273            274            249
      240            249            274            275            250
      241            251            276            277            252
      242            252            277            278            253
      243            253            278            279            254
      244            254            279            280            255
      245            255            280            281            256
      246            256            281            282            257
      247            257            282            283            258
      248            258            283            284            259
      249            259            284            285            260
      250            260            285            286            261
      251            261            286            287            262
      252            262            287            288            263
      253            263            288            289            264
      254            264            289            290            265
      255            265            290            291            266
      256            266            291            292            267
      257            267            292            293            268
      258            268            293            294            269
      259            269            294            295            270
      260            270            295            296            271
      261            271            296            297            272
      262            272            297            298            273
      263            273            298            299            274
      264            274            299            300            275
      265            276            301            302            277
      266            277            302            303            278
      267            278            303            304            279
      268            279            304            305            280
      269            280            305            306            281
      270            281            306            307            282
      271            282            307            308            283
      272            283            308            309            284
      273            284            309            310            285
      274            285            310            311            286
      275            286            311            312            287
      276            287            312            313            288
      277            288            313            314            289
      278            289            314            315            290
      279            290            315            316            291
      280            291            316            317            292
      281            292            317            318            293
      282            293            318            319            294
      283            294            319            320            295
      284            295            320            321            296
      285            296            321            322            297
      286            297            322            323            298
      287            298            323            324            299
      288            299            324            325            300
# Boundary conditions:
        1              2         0.327190828217762e-01              1         0.000000000000000e+00
        2              2         0.652980575077845e-01              2         0.427986080416876e-02
        3              2         0.648783330650281e-01              2         0.854139458731788e-02
        4              2         0.641807896397845e-01              2         0.127663528075454e-01
        5              2         0.632084142200892e-01              2         0.169366435451248e-01
        6              2         0.619653706667712e-01              2         0.210344089748832e-01
        7              2         0.604569818831612e-01              2         0.250421018361499e-01
        8              2         0.586897070216029e-01              2         0.289425605728208e-01
        9              2         0.566711138243704e-01              2         0.327190828217762e-01
       10              2         0.544098462174342e-01              2         0.363554969349637e-01
       11              2         0.519155872958434e-01              2         0.398362312288783e-01
       12              2         0.491990178592258e-01              2         0.431463806649013e-01
       13              2         0.462717706749644e-01              2         0.462717706749644e-01
       14              2         0.431463806649013e-01              2         0.491990178592258e-01
       15              2         0.398362312288783e-01              2         0.519155872958434e-01
       16              2         0.363554969349637e-01              2         0.544098462174342e-01
       17              2         0.327190828217762e-01              2         0.566711138243704e-01
       18              2         0.289425605728208e-01              2         0.586897070216029e-01
       19              2         0.250421018361499e-01              2         0.604569818831612e-01
       20              2         0.210344089748832e-01              2         0.619653706667712e-01
       21              2         0.169366435451248e-01              2         0.632084142200892e-01
       22              2         0.127663528075454e-01              2         0.641807896397845e-01
       23              2         0.854139458731788e-02              2         0.648783330650281e-01
       24              2         0.427986080416876e-02              2         0.652980575077845e-01
       25              1         0.000000000000000e+00              2         0.327190828217762e-01
       26              2         0.000000000000000e+00              1         0.000000000000000e+00
       27              2         0.000000000000000e+00              2         0.000000000000000e+00
       28              2         0.000000000000000e+00              2         0.000000000000000e+00
       29              2         0.000000000000000e+00              2         0.000000000000000e+00
       30              2         0.000000000000000e+00              2         0.000000000000000e+00
       31              2         0.000000000000000e+00              2         0.000000000000000e+00
       32              2         0.000000000000000e+00              2         0.000000000000000e+00
       33              2         0.000000000000000e+00              2         0.000000000000000e+00
       34              2         0.000000000000000e+00              2         0.000000000000000e+00
       35              2         0.000000000000000e+00              2         0.000000000000000e+00
       36              2         0.000000000000000e+00              2         0.000000000000000e+00
       37              2         0.000000000000000e+00              2         0.000000000000000e+00
       38              2         0.000000000000000e+00              2         0.000000000000000e+00
       39              2         0.000000000000000e+00              2         0.000000000000000e+00
       40              2         0.000000000000000e+00              2         0.000000000000000e+00
       41              2         0.000000000000000e+00              2         0.000000000000000e+00
       42              2         0.000000000000000e+00              2         0.000000000000000e+00
       43              2         0.000000000000000e+00              2         0.000000000000000e+00
       44              2         0.000000000000000e+00              2         0.000000000000000e+00
       45              2         0.000000000000000e+00              2         0.000000000000000e+00
       46              2         0.000000000000000e+00              2         0.000000000000000e+00
       47              2         0.000000000000000e+00              2         0.000000000000000e+00
       48              2         0.000000000000000e+00              2         0.000000000000000e+00
       49              2         0.000000000000000e+00              2         0.000000000000000e+00
       50              1         0.000000000000000e+00              2         0.000000000000000e+00
       51              2         0.000000000000000e+00              1         0.000000000000000e+00
       52              2         0.000000000000000e+00              2         0.000000000000000e+00
       53              2         0.000000000000000e+00              2         0.000000000000000e+00
       54              2         0.000000000000000e+00              2         0.000000000000000e+00
       55              2         0.000000000000000e+00              2         0.000000000000000e+00
       56              2         0.000000000000000e+00              2         0.000000000000000e+00
       57              2         0.000000000000000e+00              2         0.000000000000000e+00
       58              2         0.000000000000000e+00              2         0.000000000000000e+00
       59              2         0.000000000000000e+00              2         0.000000000000000e+00
       60              2         0.000000000000000e+00              2         0.000000000000000e+00
       61              2         0.000000000000000e+00              2         0.000000000000000e+00
       62              2         0.000000000000000e+00              2         0.000000000000000e+00
       63              2         0.000000000000000e+00              2         0.000000000000000e+00
       64              2         0.000000000000000e+00              2         0.000000000000000e+00
       65              2         0.000000000000000e+00              2         0.000000000000000e+00
       66              2         0.000000000000000e+00              2         0.000000000000000e+00
       67              2         0.000000000000000e+00              2         0.000000000000000e+00
       68              2         0.000000000000000e+00              2         0.000000000000000e+00
       69              2         0.000000000000000e+00              2         0.000000000000000e+00
       70              2         0.000000000000000e+00              2         0.000000000000000e+00
       71              2         0.000000000000000e+00              2         0.000000000000000e+00
       72              2         0.000000000000000e+00              2         0.000000000000000e+00
       73              2         0.000000000000000e+00              2         0.000000000000000e+00
       74              2         0.000000000000000e+00              2         0.000000000000000e+00
       75              1         0.000000000000000e+00              2         0.000000000000000e+00
       76              2         0.000000000000000e+00              1         0.000000000000000e+00
       77              2         0.000000000000000e+00              2         0.000000000000000e+00
       78              2         0.000000000000000e+00              2         0.000000000000000e+00
       79              2         0.000000000000000e+00              2         0.000000000000000e+00
       80              2         0.000000000000000e+00              2         0.000000000000000e+00
       81              2         0.000000000000000e+00              2         0.000000000000000e+00
       82              2         0.000000000000000e+00              2         0.000000000000000e+00
       83              2         0.000000000000000e+00              2         0.000000000000000e+00
       84              2         0.000000000000000e+00              2         0.000000000000000e+00
       85              2         0.000000000000000e+00              2         0.000000000000000e+00
       86              2         0.000000000000000e+00              2         0.000000000000000e+00
       87              2         0.000000000000000e+00              2         0.000000000000000e+00
