Give number of divisions for the quarter cylinder in r and theta directions:
A Cylinder Model wi     72  Elements
       83    0.173205080756888e+01    0.100000000000000e+01
       84    0.158670668058247e+01    0.121752285801744e+01
       85    0.141421356237310e+01    0.141421356237310e+01
       86    0.121752285801744e+01    0.158670668058247e+01
       87    0.100000000000000e+01    0.173205080756888e+01
       88    0.765366864730180e+00    0.184775906502257e+01
       89    0.517638090205042e+00    0.193185165257814e+01
       90    0.261052384440103e+00    0.198288972274762e+01
       91    0.000000000000000e+00    0.200000000000000e+01
# Element Connectivity:
        1              1             14             15              2
        2              2             15             16              3
        3              3             16             17              4
        4              4             17             18              5
        5              5             18             19              6
        6              6             19             20              7
        7              7             20             21              8
        8              8             21             22              9
        9              9             22             23             10
        10             10             23             24             11
        11             11             24             25             12
        12             12             25             26             13
        13             14             27             28             15
        14             15             28             29             16
        15             16             29             30             17
        16             17             30             31             18
        17             18             31             32             19
        18             19             32             33             20
        19             20             33             34             21
        20             21             34             35             22
        21             22             35             36             23
        22             23             36             37             24
        23             24             37             38             25
        24             25             38             39             26
        25             27             40             41             28
        26             28             41             42             29
        27             29             42             43             30
        28             30             43             44             31
        29             31             44             45             32
        30             32             45             46             33
        31             33             46             47             34
        32             34             47             48             35
        33             35             48             49             36
        34             36             49             50             37
        35             37             50             51             38
        36             38             51             52             39
        37             40             53             54             41
        38             41             54             55             42
        39             42             55             56             43
        40             43             56             57             44
        41             44             57             58             45
        42             45             58             59             46
        43             46             59             60             47
        44             47             60             61             48
        45             48             61             62             49
        46             49             62             63             50
        47             50             63             64             51
        48             51             64             65             52
        49             53             66             67             54
        50             54             67             68             55
        51             55             68             69             56
        52             56             69             70             57
        53             57             70             71             58
        54             58             71             72             59
        55             59             72             73             60
        56             60             73             74             61
        57             61             74             75             62
        58             62             75             76             63
        59             63             76             77             64
        60             64             77             78             65
        61             66             79             80             67
        62             67             80             81             68
        63             68             81             82             69
        64             69             82             83             70
        65             70             83             84             71
        66             71             84             85             72
        67             72             85             86             73
        68             73             86             87             74
        69             74             87             88             75
        70             75             88             89             76
        71             76             89             90             77
        72             77             90             91             78
# Boundary conditions:
        1              2         0.654031292301431e-01              1         0.000000000000000e+00
        2              2         0.129687192785985e+00              2         0.170736428353731e-01
        3              2         0.126349143287033e+00              2         0.338551509081248e-01
        4              2         0.120849224915840e+00              2         0.500573879624174e-01
        5              2         0.113281542800601e+00              2         0.654031292301431e-01
        6              2         0.103775582080467e+00              2         0.796298048235679e-01
        7              2         0.924939923789085e-01              2         0.924939923789085e-01
        8              2         0.796298048235679e-01              2         0.103775582080467e+00
        9              2         0.654031292301431e-01              2         0.113281542800601e+00
       10              2         0.500573879624174e-01              2         0.120849224915840e+00
       11              2         0.338551509081248e-01              2         0.126349143287033e+00
       12              2         0.170736428353731e-01              2         0.129687192785985e+00
       13              1         0.000000000000000e+00              2         0.654031292301431e-01
       14              2         0.000000000000000e+00              1         0.000000000000000e+00
       15              2         0.000000000000000e+00              2         0.000000000000000e+00
       16              2         0.000000000000000e+00              2         0.000000000000000e+00
       17              2         0.000000000000000e+00              2         0.000000000000000e+00
       18              2         0.000000000000000e+00              2         0.000000000000000e+00
       19              2         0.000000000000000e+00              2         0.000000000000000e+00
       20              2         0.000000000000000e+00              2         0.000000000000000e+00
       21              2         0.000000000000000e+00              2         0.000000000000000e+00
       22              2         0.000000000000000e+00              2         0.000000000000000e+00
       23              2         0.000000000000000e+00              2         0.000000000000000e+00
       24              2         0.000000000000000e+00              2         0.000000000000000e+00
       25              2         0.000000000000000e+00              2         0.000000000000000e+00
       26              1         0.000000000000000e+00              2         0.000000000000000e+00
       27              2         0.000000000000000e+00              1         0.000000000000000e+00
       28              2         0.000000000000000e+00              2         0.000000000000000e+00
       29              2         0.000000000000000e+00              2         0.000000000000000e+00
       30              2         0.000000000000000e+00              2         0.000000000000000e+00
       31              2         0.000000000000000e+00              2         0.000000000000000e+00
       32              2         0.000000000000000e+00              2         0.000000000000000e+00
       33              2         0.000000000000000e+00              2         0.000000000000000e+00
       34              2         0.000000000000000e+00              2         0.000000000000000e+00
       35              2         0.000000000000000e+00              2         0.000000000000000e+00
       36              2         0.000000000000000e+00              2         0.000000000000000e+00
       37              2         0.000000000000000e+00              2         0.000000000000000e+00
       38              2         0.000000000000000e+00              2         0.000000000000000e+00
       39              1         0.000000000000000e+00              2         0.000000000000000e+00
       40              2         0.000000000000000e+00              1         0.000000000000000e+00
       41              2         0.000000000000000e+00              2         0.000000000000000e+00
       42              2         0.000000000000000e+00              2         0.000000000000000e+00
       43              2         0.000000000000000e+00              2         0.000000000000000e+00
       44              2         0.000000000000000e+00              2         0.000000000000000e+00
       45              2         0.000000000000000e+00              2         0.000000000000000e+00
       46              2         0.000000000000000e+00              2         0.000000000000000e+00
       47              2         0.000000000000000e+00              2         0.000000000000000e+00
       48              2         0.000000000000000e+00              2         0.000000000000000e+00
       49              2         0.000000000000000e+00              2         0.000000000000000e+00
       50              2         0.000000000000000e+00              2         0.000000000000000e+00
       51              2         0.000000000000000e+00              2         0.000000000000000e+00
       52              1         0.000000000000000e+00              2         0.000000000000000e+00
       53              2         0.000000000000000e+00              1         0.000000000000000e+00
       54              2         0.000000000000000e+00              2         0.000000000000000e+00
       55              2         0.000000000000000e+00              2         0.000000000000000e+00
       56              2         0.000000000000000e+00              2         0.000000000000000e+00
       57              2         0.000000000000000e+00              2         0.000000000000000e+00
       58              2         0.000000000000000e+00              2         0.000000000000000e+00
       59              2         0.000000000000000e+00              2         0.000000000000000e+00
       60              2         0.000000000000000e+00              2         0.000000000000000e+00
       61              2         0.000000000000000e+00              2         0.000000000000000e+00
       62              2         0.000000000000000e+00              2         0.000000000000000e+00
       63              2         0.000000000000000e+00              2         0.000000000000000e+00
       64              2         0.000000000000000e+00              2         0.000000000000000e+00
       65              1         0.000000000000000e+00              2         0.000000000000000e+00
       66              2         0.000000000000000e+00              1         0.000000000000000e+00
       67              2         0.000000000000000e+00              2         0.000000000000000e+00
       68              2         0.000000000000000e+00              2         0.000000000000000e+00
       69              2         0.000000000000000e+00              2         0.000000000000000e+00
       70              2         0.000000000000000e+00              2         0.000000000000000e+00
       71              2         0.000000000000000e+00              2         0.000000000000000e+00
       72              2         0.000000000000000e+00              2         0.000000000000000e+00
       73              2         0.000000000000000e+00              2         0.000000000000000e+00
       74              2         0.000000000000000e+00              2         0.000000000000000e+00
       75              2         0.000000000000000e+00              2         0.000000000000000e+00
       76              2         0.000000000000000e+00              2         0.000000000000000e+00
       77              2         0.000000000000000e+00              2         0.000000000000000e+00
       78              1         0.000000000000000e+00              2         0.000000000000000e+00
       79              2         0.000000000000000e+00              1         0.000000000000000e+00
       80              2         0.000000000000000e+00              2         0.000000000000000e+00
       81              2         0.000000000000000e+00              2         0.000000000000000e+00
       82              2         0.000000000000000e+00              2         0.000000000000000e+00
       83              2         0.000000000000000e+00              2         0.000000000000000e+00
       84              2         0.000000000000000e+00              2         0.000000000000000e+00
       85              2         0.000000000000000e+00              2         0.000000000000000e+00
       86              2         0.000000000000000e+00              2         0.000000000000000e+00
       87              2         0.000000000000000e+00              2         0.000000000000000e+00
       88              2         0.000000000000000e+00              2         0.000000000000000e+00
       89              2         0.000000000000000e+00              2         0.000000000000000e+00
       90              2         0.000000000000000e+00              2         0.000000000000000e+00
       91              1         0.000000000000000e+00              2         0.000000000000000e+00
# End of File
        144  elements created!
